report_table_number_state,table_2_urban_utility_scale_pv_gwh,table_2_urban_utility_scale_pv_gw,table_2_urban_utility_scale_pv_km2,table_3_rural_utility_scale_pv_gwh,table_3_rural_utility_scale_pv_gw,table_3_rural_utility_scale_pv_km2,table_4_rooftop_pv_gwh,table_4_rooftop_pv_gw,table_5_csp_gwh,table_5_csp_gw,table_5_csp_km2,table_6_onshore_wind_gwh,table_6_onshore_wind_gw,table_6_onshore_wind_km2,table_7_offshore_wind_gwh,table_7_offshore_wind_gw,table_7_offshore_wind_km2,table_8_biopower_solid_gwh,table_8_biopower_solid_gw,table_8_biopower_solid_bdt,table_8_biopower_gaseous_gwh,table_8_biopower_gaseous_gw,table_8_biopower_gaseous_tonnes_ch4,table_9_geothermal_hydrothermal_gwh,table_9_geothermal_hydrothermal_gw,table_10_egs_geothermal_gwh,table_10_egs_geothermal_gw,table_11_hydropower_gwh,table_11_hydropower_gw,table_11_hydropower_count_of_sites,Years
New Hampshire,3790.223249,2.350721976,48.9733745,57363.99002,35.5775328,741.1986,2298.595452,2.062007505,0,0,0,5706.480372,2.1354,427.08,14477.54381,3.456,691.2,953.8683,0.120987861,867153,389.582107,0.04941427,82889.81,0,0,104314.4155,13.23115366,1740.913841,0.397468914,810,2013
New Jersey,44307.14651,25.30097913,527.1037319,439773.7823,251.1266955,5231.806156,15767.53293,13.69143011,0,0,0,317.266614,0.1318,26.36,429807.6918,101.9347,20386.94,1212.101,0.153741882,1101910,2310.951319,0.293119142,491691.77,0,0,35230.43801,4.468599443,549.3880357,0.125431058,402,1993
New Mexico,71356.02415,30.99060983,645.6377047,16318543.03,7087.3007,147652.0979,6513.398345,4.223284512,16812349.38,4860.165209,147747.8403,1399156.609,492.0835,98416.7,,,,595.4014,0.075520218,541274,353.572164,0.044846799,75228.12,12933.21122,1.640800003,1417978.37,179.8551966,1362.699974,0.311118715,1810,1990
New York,52803.00425,32.76390929,682.5814435,1492566.421,926.1274339,19294.32154,28779.54542,25.14887149,0,0,0,63565.72017,25.7813,5156.26,614279.8413,146.07715,29215.43,5558.3891,0.705021449,5053081,2950.351069,0.374220075,627734.27,0,0,375400.598,47.61549949,6711.248074,1.532248419,4839,1999
North Carolina,68346.11225,37.8937973,789.4541105,4232789.928,2346.826736,48892.22367,28419.62847,23.09582452,0,0,0,2037.456426,0.8077,161.54,1269626.889,306.02035,61204.07,12869.8757,1.632404325,11699887,3780.215217,0.479479353,804301.11,0,0,420741.3333,53.36648063,3036.527335,0.693271081,2131,1998
North Dakota,4871.372967,2.743806764,57.16264092,9734447.938,5482.939672,114227.9098,1916.940279,1.622064368,36049.9056,13.0416378,396.4626,2537824.774,770.1954,154039.08,,,,8186.0757,1.03831503,7441887,30.003108,0.003805569,6383.64,0,0,820226.3515,104.0368279,347.1265694,0.079252641,572,1987
Ohio,86495.98827,57.14269084,1190.472726,3626181.503,2395.599758,49908.3283,30064.15572,27.47466057,0,0,0,129142.8283,54.9197,10983.94,170561.4819,41.80445,8360.89,11009.1102,1.396386377,10008282,3363.335322,0.426602654,715603.26,0,0,495921.7177,62.90229803,3045.955837,0.695423707,1791,2000
Oklahoma,50040.76577,25.61920306,533.7333971,9341920.395,4782.751661,99640.6596,12442.71566,9.336952055,5068036.412,1812.951965,55113.2991,1521651.909,516.8221,103364.42,,,,4128.4507,0.523649252,3753137,965.191295,0.122424061,205359.85,0,0,779667.3946,98.8923636,3015.8284,0.688545297,2824,1988
Oregon,25783.13956,12.99203589,270.6674145,3740478.903,1884.814534,39266.96946,8322.725549,7.842285533,2812126.217,1017.332168,30926.6505,68766.90009,27.1003,5420.06,962722.6391,225.0083,45001.66,13793.0936,1.749504515,12539176,890.986943,0.113012042,189571.69,18199.89756,2.308399995,914105.3476,115.9443617,18184.43228,4.151696867,7993,2003
Pennsylvania,56161.83513,36.19552405,754.0734178,553356.0476,356.6303004,7429.797924,22215.02688,19.90219842,0,0,0,8230.681818,3.3072,661.44,23571.03658,5.6742,1134.84,6313.5699,0.800807953,5739609,7132.441478,0.904672942,1517540.74,0,0,327340.5749,41.51960616,8368.101262,1.910525402,4466,2001
Rhode Island,1787.932674,1.159584255,24.15800531,13636.3847,8.844033792,184.250704,1710.771321,1.533527624,0,0,0,129.843348,0.0466,9.32,89114.95571,20.9654,4193.08,143.4972,0.018201065,130452,474.174822,0.06014394,100888.26,0,0,11491.53157,1.457576302,59.46565803,0.013576634,86,1977
South Carolina,33834.66647,19.09916406,397.8992512,2754973.304,1555.141297,32398.77702,14412.56936,11.53100783,0,0,0,427.99608,0.185,37,542218.2311,133.21735,26643.47,6984.802,0.885946474,6349820,1430.267857,0.181413985,304312.31,0,0,364104.983,46.18277308,1888.694766,0.431208851,889,1979
South Dakota,4573.63729,2.4423552,50.8824,10008873.17,5344.810244,111350.2134,2082.586633,1.681957397,1629659.587,589.5557523,17922.3514,2901858.084,882.4126,176482.52,,,,8380.1399,1.062929972,7618309,235.340562,0.029850401,50072.46,0,0,921972.5083,116.9422258,1047.059027,0.239054572,1712,1989
Tennessee,50243.30451,28.59761191,595.7835814,2225989.929,1266.994612,26395.72108,19685.14917,16.22665999,0,0,0,765.530706,0.3093,61.86,,,,6095.4949,0.773147501,5541359,1984.434611,0.251704035,422220.13,0,0,428380.0381,54.33536759,5744.536648,1.311538047,2610,2009
Texas,294684.0137,154.2512408,3213.567516,38993581.62,20411.04392,425230.0817,78716.66399,60.25648597,22786749.7,7743.42028,235398.0935,5552399.929,1901.5299,380305.98,1101062.655,271.44345,54288.69,16077.5461,2.03926257,14615951,5898.496428,0.748160379,1254999.24,0,0,3030250.968,384.3545114,3006.080053,0.686319647,4366,2005
Utah,30492.33094,14.0571504,292.8573,5184878.016,2390.260365,49797.09094,7513.803902,5.644549713,5067546.938,1638.154146,49799.4876,31552.1346,13.1037,2620.74,,,,433.983,0.055046043,394530,427.78695,0.054260141,91018.5,12981.656,1.647,939380.7152,119.1502683,3528.34349,0.805557874,3394,2014
Vermont,1632.062494,1.0582704,22.0473,54727.89249,35.48694298,739.311312,1115.301205,1.03039466,0,0,0,7795.731174,2.9487,589.74,,,,491.9948,0.062404211,447268,203.269172,0.025782493,43248.76,0,0,35616.71288,4.517594226,1710.274435,0.390473615,1207,1977
Virginia,27451.37815,15.66373908,326.3278974,1882467.285,1074.134647,22377.80514,22266.9771,18.66925351,0,0,0,4589.245302,1.7935,358.7,361053.9913,89.07345,17814.69,7866.232,0.997746322,7151120,2498.486583,0.316905959,531592.89,0,0,290736.6394,36.87679343,3656.759027,0.83487649,2601,1999
Washington,33690.09393,19.31313153,402.3569068,1738150.751,996.4096314,20758.53399,13599.12909,13.49359422,161713.4295,58.5024516,1778.4603,47249.71735,18.4785,3695.7,488025.1446,120.96375,24192.75,12311.7016,1.561605987,11192456,1514.129722,0.192050954,322155.26,2546.966806,0.322700001,563023.6109,71.41344633,27248.93252,6.221217469,7310,1973
West Virginia,3023.830816,2.008729865,41.84853886,52693.75023,35.00444179,729.259204,4220.143893,3.81029751,0,0,0,4951.62723,1.8832,376.64,,,,2406.8627,0.305284462,2188057,281.113721,0.03565623,59811.43,0,0,261376.4994,33.1527777,4408.434916,1.00649199,1711,1992
Wisconsin,54938.94159,34.9297607,727.703348,5042258.89,3205.829805,66788.12094,13939.21474,12.26186209,0,0,0,255266.2217,103.7571,20751.42,317754.9257,80.67175,16134.35,11221.584,1.423336377,10201440,2072.953236,0.262931664,441053.88,0,0,647173.2178,82.08691246,2286.758764,1.455423551,1863,1990
Wyoming,7232.47253,3.6044352,75.0924,5727224.128,2854.26708,59463.89749,1550.525137,1.169965903,5406407.073,1955.845887,59457.2392,1653856.697,552.0727,110414.54,,,,503.0278,0.063803628,457298,50.15323,0.006361394,10670.9,1373,0.174,1070078.766,135.7279003,4445.247448,1.289238755,2842,2012
